Tayal 2007			// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-11
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
8-29	0.049	0.049	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048
8-30	0.022	0.022	0.022	0.022	0.023	0.023	0.024	0.025	0.026	0.026	0.028
8-31	0.011	0.011	0.011	0.012	0.012	0.012	0.013	0.014	0.014	0.014	0.016
8-32	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002
8-33	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.002
9-10	0.562	0.606	0.590	0.573	0.562	0.548	0.540	0.529	0.519	0.510	0.490
9-11	0.021	0.024	0.027	0.028	0.029	0.029	0.027	0.024	0.021	0.018	0.012
9-12	0.052	0.064	0.072	0.077	0.079	0.078	0.074	0.064	0.056	0.049	0.032
9-13	0.087	0.120	0.142	0.155	0.162	0.162	0.155	0.135	0.118	0.105	0.068
9-14	0.065	0.068	0.074	0.077	0.078	0.076	0.071	0.061	0.054	0.048	0.033
9-15	0.156	0.166	0.183	0.192	0.196	0.191	0.179	0.154	0.134	0.119	0.081
9-16	0.386	0.404	0.416	0.423	0.428	0.437	0.443	0.454	0.462	0.469	0.493
9-17	0.060	0.057	0.053	0.049	0.046	0.038	0.032	0.025	0.021	0.018	0.011
9-18	0.047	0.036	0.030	0.027	0.024	0.019	0.016	0.012	0.010	0.008	0.004
9-19	0.044	0.035	0.029	0.026	0.023	0.019	0.016	0.012	0.010	0.009	0.005
9-20	0.069	0.055	0.047	0.042	0.038	0.031	0.026	0.021	0.018	0.015	0.010
9-21	0.068	0.056	0.050	0.046	0.042	0.037	0.033	0.027	0.024	0.022	0.016
9-22	1.101	1.166	1.177	1.172	1.161	1.127	1.093	1.034	0.989	0.953	0.850
9-23	0.175	0.203	0.213	0.216	0.215	0.206	0.194	0.171	0.154	0.140	0.100
9-24	0.010	0.010	0.009	0.009	0.008	0.007	0.006	0.005	0.004	0.004	0.002
9-25	0.023	0.024	0.023	0.022	0.020	0.017	0.015	0.012	0.010	0.009	0.006
9-26	0.038	0.037	0.035	0.033	0.031	0.027	0.024	0.020	0.017	0.015	0.010
