Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
3-34	2.88e-1	2.83e-1	2.79e-1	2.61e-1	2.40e-1	2.21e-1	1.92e-1	1.59e-1
3-35	5.54e-1	5.28e-1	5.15e-1	4.69e-1	4.27e-1	3.91e-1	3.37e-1	2.77e-1
3-36	6.06e-2	6.23e-2	6.34e-2	6.51e-2	6.30e-2	6.02e-2	5.53e-2	4.93e-2
3-37	2.73e-1	2.67e-1	2.67e-1	2.61e-1	2.45e-1	2.29e-1	2.02e-1	1.70e-1
3-38	1.13	1.15	1.17	1.21	1.18	1.15	1.10	1.08
3-39	1.49e-1	1.49e-1	1.49e-1	1.42e-1	1.28e-1	1.15e-1	9.40e-2	6.97e-2
3-40	3.20e-1	3.14e-1	3.08e-1	2.72e-1	2.39e-1	2.13e-1	1.78e-1	1.39e-1
3-41	6.70e-2	5.91e-2	5.51e-2	4.29e-2	3.57e-2	3.08e-2	2.47e-2	1.85e-2
3-42	4.94e-2	3.91e-2	3.41e-2	3.66e-2	3.38e-2	3.21e-2	3.00e-2	2.73e-2
3-43	1.65e-2	1.33e-2	1.17e-2	1.93e-2	1.97e-2	2.00e-2	2.08e-2	2.23e-2
3-44	4.87e-2	3.98e-2	3.51e-2	6.76e-2	7.31e-2	7.84e-2	8.91e-2	1.10e-1
3-45	1.69e-1	1.38e-1	1.22e-1	2.57e-1	2.86e-1	3.16e-1	3.75e-1	4.91e-1
3-46	7.09e-3	5.39e-3	4.62e-3	5.76e-3	5.32e-3	5.06e-3	4.76e-3	4.44e-3
3-47	3.23e-2	2.47e-2	2.12e-2	3.35e-2	3.44e-2	3.59e-2	3.97e-2	4.83e-2
3-48	6.61e-2	5.10e-2	4.39e-2	7.49e-2	7.93e-2	8.50e-2	9.77e-2	1.25e-1
3-49	0	0	0	5.98e-3	5.98e-3	5.98e-3	5.98e-3	5.97e-3
4-5	1.31	1.33	1.38	1.59	1.72	1.79	1.85	1.84
4-7	1.07	1.16	1.19	1.17	1.09	1.02	9.08e-1	7.76e-1
4-8	1.79	1.94	1.99	1.95	1.82	1.70	1.51	1.29
